"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"

1,36,"BRN","Brunei",1,"Belait",1,"Bukit Sawat","BN.BE.BS",NA,"","Mukim","Mukim","",""
2,36,"BRN","Brunei",1,"Belait",2,"Kuala Balai","BN.BE.BA",NA,"","Mukim","Mukim","","Kuala Belai"
3,36,"BRN","Brunei",1,"Belait",3,"Kuala Belait","BN.BE.BT",NA,"","Mukim","Mukim","",""
4,36,"BRN","Brunei",1,"Belait",4,"Labi","BN.BE.LA",NA,"","Mukim","Mukim","",""

5,36,"BRN","Brunei",1,"Belait",5,"Liang","BN.BE.LI",NA,"","Mukim","Mukim","",""
6,36,"BRN","Brunei",1,"Belait",6,"Melilas","BN.BE.ME",NA,"","Mukim","Mukim","",""
7,36,"BRN","Brunei",1,"Belait",7,"Seria","BN.BE.SE",NA,"","Mukim","Mukim","",""
8,36,"BRN","Brunei",1,"Belait",8,"Sukang","BN.BE.SU",NA,"","Mukim","Mukim","",""
9,36,"BRN","Brunei",2,"Brunei and Muara",9,"Berakas A","",NA,"","Mukim","Mukim","",""
10,36,"BRN","Brunei",2,"Brunei and Muara",10,"Berakas B","",NA,"","Mukim","Mukim","",""
11,36,"BRN","Brunei",2,"Brunei and Muara",11,"Gadong","BN.BM.GA",NA,"","Mukim","Mukim","",""
12,36,"BRN","Brunei",2,"Brunei and Muara",12,"Kianggeh","BN.BM.KG",NA,"","Mukim","Mukim","",""
13,36,"BRN","Brunei",2,"Brunei and Muara",13,"Kilanas","BN.BM.KL",NA,"","Mukim","Mukim","",""
14,36,"BRN","Brunei",2,"Brunei and Muara",14,"Kota Batu","BN.BM.KB",NA,"","Mukim","Mukim","",""
15,36,"BRN","Brunei",2,"Brunei and Muara",15,"Lumapas","BN.BM.LU",NA,"","Mukim","Mukim","",""
16,36,"BRN","Brunei",2,"Brunei and Muara",16,"Mentiri","BN.BM.ME",NA,"","Mukim","Mukim","",""
